,Modified_Commentary
4652,"FOUR, googly but wrongly directed, starts from middle and goes down, Pathan helps the sweep with one hand off the bat handle, good enough though to take the ball away from the man at deep backward square"
4653,"SIX, that's batsman at his best. Too full and too straight, batsman sits down and then heaves with all his might, good connection to get it all the way over long-on. Gets the crowd going"
4654,"out Caught by Siraj!! How often have you seen batsman get out, mistiming a pull? His staple shot is the pull. Made a career out of it as a batsman even fetching length balls and muscling them over mid-wicket. But bowler has him again. Credit to Kohli for throwing the ball to the left-arm spinner, he has a good record against batsman and gets him with a short ball. May have skidded on a wee bit to catch batsman's inner half, Siraj takes a dolly at mid-on and flings the ball away. bowler raises his arms in triumph. batsman c Siraj b bowler 7(4) [6s-1]"
4655,"SIX, right in batsman's teeing off zone. Picks the slower delivery and murders it over long-on. As easy as you like"
4656,"SIX, helicoptered straight down the ground! Mini-helicopter you can call. Tossed up on middle, batsman marmalises it back over the bowler's head. Such power"
4657,"SIX, bowler continues to toss it up, too full and right in the hitting zone, batsman swings and sends it over long-on. When it is so full, batsman will hit everything out of the park"
4658,"SIX, 50 for batsman. He is getting tired and losing some of his power, but this he sits back and waits for it to be bowled short, then mauls the pull over deep mid. Third six of the over"
4659,"SIX, magnificent shot. Down the track and lifts the back of a length delivery over deep cover. So effortless with so much timing. A crucial blow at the right time"
4660,"1 run, dropped by Umesh at extra-cover. Kohli though claps in encouragement. batsman moved across to the off-side, skied the lofted hit straight up. Umesh went for the conventional way, straight in and out. Will that prove to be costly?"
4661,"SIX, back of a length outside off, batsman knows what is coming, a mini shuffle outside off, forehands it over wide long-off. Carries over the rope, not by much but it will do"
4662,"SIX, this is bigger. And longer. Full outside off, batsman shuffles across and gives it all, off the middle of the bat and way back into the stands. Nailed that and the ball flies away to the deep mid fence"
4663,"FOUR, finally, he guides this in the gap and that spoils a good over for bowler. Bowled pretty well to be honest. Back of a length and outside off stump, batsman steers it between backward point and short third man"
4664,"SIX, whyyy! When those back of a length balls were working so well, why do you want to try the yorker. batsman smacks it. He did really smack it straight down the ground. Fifty for the team captain, he's determined and as always confident"
4665,"FOUR, now then, now then, you can't bowl way too short and slow either. No sweeper cover remember, only third man and deep cover, so batsman stands tall, delays the cut and hits it over the infield"
4666,"out batsman Run Out!! 1 run completed. They say you don't run on a misfield and batsman's excellent knock has been ended by a brilliant piece of fielding by Umesh. Brilliant first with the full length dive to get a hand on the attempted square-drive to save the boundary, and then brilliant with recovery time and more importantly smash the stumps with a bullet throw and he had one stump to aim at from a side on angle. team are back in it! batsman doesn't want to leave. He got greedy and hoped for a poor throw from the fielder but Umesh has a good throwing arm and was out by miles despite a dive. batsman run out (U Yadav) 82(53) [4s-3 6s-8]"
4667,"SIX, don't tell me he deliberately sliced that all the way for six! Oh he did! Genius! Low full toss outside off stump, not a really bad ball, batsman has been looking to target third man this innings and he's somehow got under this properly and sent it for a maximum"
4668,"FOUR, that's the healthiest of edges you can get. Lucky runs. Precious runs for team. The yellow contingent believes. Ceee Esss Kayyy chants ringing in the ground. Shortish delivery outside off stump, Bravo slogs and gets a thick edge that flies over the leaping QdK"
4669,"SIX, who better than DJ Bravo to hit those inside-out shots over cover. You got to admire him. Distraught team fans. Delight in the team camp. Back of a length delivery outside off stump, Bravo backs away and gets under the ball to smash it over cover"
4670,"SIX, that's it! How cool is he man! Is he human? team have won with two balls to spare! Unbelievable stuff. More than 100 runs were needed in about 7 overs but he never showed any signs of pressure, nor did he play rash shots. Just played his trumpcard of taking the match deep and backing himself to finish and boy, what a finish it was. Just a jump across to the off-side and slogs this full ball with all his might to clear deep mid-wicket. This is team's first loss defending in excess of 200 at the Chinnaswamy"
4671,"SIX, the sound of bat hitting ball was like a gunshot. Such a big hit and so well hit too. After not getting to the pitch, bowler seeing batsman come down, dragged it down, but batsman is seeing so well at the moment that he goes through with the pull and muscles it over deep mid"
4672,"SIX, good cricket awareness from batsman as he knew bowler will pitch it up, he does and batsman swings through the line and cleanly to get another six over long-on"
4673,"SIX, he is in the mood. For sure. A length ball angling in, batsman stays back and just whips that off his pads, knew there was no-one back out there, the white ball sails into the crowd at deep backward square"
4674,"FOUR, that is an unbelievable shot. Especially if your name is batsman and you have a problem against the short ball. The world knows it. Yadav did nothing wrong there, followed the backing away batsman with a perfect short ball, but batsman turned on the style and forehanded like Rafa Nadal at Philippe Chatrier Roland Garros. So much topspin on the crosscourt and it swings and eludes wickedly past the great AB at mid-on. How he managed to get on top of the bounce and kept it down, only he will know"
4675,"FOUR, short and pulled away. batsman didn't hit it as well as he would've liked to, but gets a one bounce over the ropes four at deep square"
4676,"FOUR, another amazing shot by batsman. bowler with the double-teapot pose, wondering what he has done wrong. batsman down the track, in a flash and even when there's no room on the back of a length delivery, whiplashes the slash, gets it through cover and extra-cover. Right into the gap. Top batting"
4677,"FOUR, belted straight down the ground. batsman knows what is coming from his Hyderabad teammate. Skips down and then brutalises the short of length delivery back over the bowler's head. Umpire was ducking for cover there"
4678,"out Caught by Mandeep!! The shouts of Ceeee-Sssss-Kkkkkkk have been drowned out by that wicket. Now Aaaaarrrrr-Ceeeeee-Beeeeeee back on. Leg-stump full delivery, hint of shape on that, batsman flicked too early and the leading edge landed safely in backward point's grasp where Mandeep catches and tumbles over in delight. The ploy of giving Yadav another over has worked. 100th IPL wicket for Umesh as well. batsman c Mandeep b bowler 11(9) [4s-2]"
4679,"FOUR, now batsman flicks and gets four. Over mid-wicket and it races away. On the pads, batsman relies on timing and goes up and over"
4680,"FOUR, pre-meditated and four. Knelt down and paddled it fine, beats the long chase and desperate dive of Corey Anderson at fine leg. Almost played it onto the stumps, but got it wide of de Kock"
